"Uni"	"City"
"Icahn School of Medicine at Mount Sinai"	"New York, NY"
"Idaho State University"	"Pocatello, ID"
"Ilisagvik College"	"Barrow, AK"
"Illinois College"	"Jacksonville, IL"
"Illinois Institute of Technology"	"Chicago, IL"
"Illinois State University"	"Normal, IL"
"Illinois Valley Community College"	"Oglesby, IL"
"Illinois Wesleyan University"	"Bloomington, IL"
"Imagine-Paul Mitchell Partner School"	"North Little Rock, AR"
"Immaculata University"	"Immaculata, PA"
"Immokalee Technical College"	"Immokalee, FL"
"Imperial Valley College"	"Imperial, CA"
"Independence Community College"	"Independence, KS"
"Indian Capital Technology Center-Muskogee"	"Muskogee, OK"
"Indian Hills Community College"	"Ottumwa, IA"
"Indiana University - East"	"Richmond, IN"
"Indiana University - Kokomo"	"Kokomo, IN"
"Indiana University - Northwest"	"Gary, IN"
"Indiana University - Purdue University Indianapolis"	"Indianapolis, IN"
"Indiana University-South Bend"	"South Bend, IN"
"Indiana University-Southeast"	"New Albany, IN"
"Inner State Beauty School"	"Lyndhurst, OH"
"Institute of American Indian Arts"	"Santa Fe, NM"
"The Institute of Beauty and Wellness"	"Milwaukee, WI"
"Institute of Health Sciences"	"Hunt Valley, MD"
"InterCoast Colleges-Fairfield"	"Fairfield, CA"
"Interior Designers Institute"	"Newport Beach, CA"
"International Academy"	"South Daytona, FL"
"International Academy of Style"	"Reno, NV"
"International Air and Hospitality Academy"	"Vancouver, WA"
"International College of Cosmetology"	"Oakland, CA"
"International Institute of Cosmetology"	"Wethersfield, CT"
"International Salon and Spa Academy"	"Colorado Springs, CO"
"International School of Beauty Inc"	"Palm Desert, CA"
"International Technological University"	"Sunnyvale, CA"
"Inver Hills Community College"	"Inver Grove Heights, MN"
"Iona College"	"New Rochelle, NY"
"Iowa Lakes Community College"	"Estherville, IA"
"Iowa State University"	"Ames, IA"
"Iowa Wesleyan University"	"Mount Pleasant, IA"
"Iowa Western Community College"	"Council Bluffs, IA"
"Irvine Valley College"	"Irvine, CA"
"Isothermal Community College"	"Spindale, NC"
"Itasca Community College"	"Grand Rapids, MN"
"Itawamba Community College"	"Fulton, MS"
"Ithaca College"	"Ithaca, NY"
"Ivy Tech Community College-Central Indiana"	"Indianapolis, IN"
"J F Drake State Community & Technical College"	"Huntsville, AL"
"J F Ingram State Technical College"	"Deatsville, AL"
"Jackson College"	"Jackson, MI"
"Jackson State Community College"	"Jackson, TN"
"Jackson State University"	"Jackson, MS"
"Jacksonville State University"	"Jacksonville, AL"
"James A Rhodes State College"	"Lima, OH"
"James H Faulkner State Community College"	"Bay Minette, AL"
"James Madison University"	"Harrisonburg, VA"
"James Rumsey Technical Institute"	"Martinsburg, WV"
"James Sprunt Community College"	"Kenansville, NC"
"Jamestown Business College"	"Jamestown, NY"
"Jamestown Community College"	"Jamestown, NY"
"Jarvis Christian College"	"Hawkins, TX"
"Jay's Technical Institute"	"Houston, TX"
"Jean Madeline Aveda Institute"	"Philadelphia, PA"
"Jefferson College"	"Hillsboro, MO"
"Jefferson College of Health Sciences"	"Roanoke, VA"
"Jefferson Community College"	"Watertown, NY"
"Jefferson State Community College"	"Birmingham, AL"
"Jersey College"	"Hackensack, NJ"
"John A Logan College"	"Carterville, IL"
"John Brown University"	"Siloam Springs, AR"
"John Carroll University"	"University Heights, OH"
"The John Marshall Law School"	"Chicago, IL"
"John Tyler Community College"	"Chester, VA"
"John Wesley International Barber and Beauty College"	"Long Beach, CA"
"John Wood Community College"	"Quincy, IL"
"Johnson & Wales University-Charlotte"	"Charlotte, NC"
"Johnson & Wales University-Denver"	"Denver, CO"
"Johnson & Wales University-North Miami"	"North Miami, FL"
"Johnson & Wales University-Providence"	"Providence, RI"
"Johnson C Smith University"	"Charlotte, NC"
"Johnson College"	"Scranton, PA"
"Johnson County Community College"	"Overland Park, KS"
"Johnson University"	"Knoxville, TN"
"Johnston Community College"	"Smithfield, NC"
"Jolie Hair & Beauty Academy-Northfield"	"Northfield, NJ"
"Jones County Junior College"	"Ellisville, MS"
"Jose Maria Vargas University"	"Pembroke Pines, FL"
"Josephs College Cosmetology"	"Lincoln, NE"
"Juniata College"	"Huntingdon, PA"
"Kairos University"	"Myerstown, PA"
"Kaizen Beauty Academy"	"Pembroke Pines, FL"
"Kalamazoo College"	"Kalamazoo, MI"
"Kalamazoo Valley Community College"	"Kalamazoo, MI"
"Kankakee Community College"	"Kankakee, IL"
"Kansas City Art Institute"	"Kansas City, MO"
"Kansas City University of Medicine and Biosciences"	"Kansas City, MO"
"Kansas State University"	"Manhattan, KS"
"Kansas Wesleyan University"	"Salina, KS"
"Kapiolani Community College"	"Honolulu, HI"
"Kaskaskia College"	"Centralia, IL"
"Kauai Community College"	"Lihue, HI"
"Kean University"	"Union, NJ"
"Keck Graduate Institute"	"Claremont, CA"
"Keene State College"	"Keene, NH"
"Keiser University - Naples"	"Naples, FL"
"Kellogg Community College"	"Battle Creek, MI"
"Kennebec Valley Community College"	"Fairfield, ME"
"Kennesaw State University"	"Kennesaw, GA"
"Kenneth Shuler School of Cosmetology"	"Greenville, SC"
"Kent State University at Ashtabula"	"Ashtabula, OH"
"Kent State University at East Liverpool"	"East Liverpool, OH"
"Kent State University at Geauga"	"Burton, OH"
"Kent State University at Salem"	"Salem, OH"
"Kent State University at Stark"	"Canton, OH"
"Kent State University at Trumbull"	"Warren, OH"
"Kent State University at Tuscarawas"	"New Philadelphia, OH"
"Kentucky Christian University"	"Grayson, KY"
"Kentucky State University"	"Frankfort, KY"
"Kenyon College"	"Gambier, OH"
"Kettering College"	"Kettering, OH"
"Kettering University"	"Flint, MI"
"Keuka College"	"Keuka Park, NY"
"Keystone College"	"La Plume, PA"
"Keystone Technical Institute"	"Harrisburg, PA"
"Kiamichi Technology Center-McAlester"	"McAlester, OK"
"Kilgore College"	"Kilgore, TX"
"King University"	"Bristol, TN"
"The King's College - NY"	"New York, NY"
"King's College - PA"	"Wilkes Barre, PA"
"The King's University"	"Van Nuys, TX"
"Kirkwood Community College"	"Cedar Rapids, IA"
"Kishwaukee College"	"Malta, IL"
"Klamath Community College"	"Klamath Falls, OR"
"Knox College"	"Galesburg, IL"
"Knox County Career Center"	"Mount Vernon, OH"
"Kutztown University of Pennsylvania"	"Kutztown, PA"
"Kuyper College"	"Grand Rapids, MI"
"L'esprit Academy"	"Livonia, MI"
"La Belle Beauty Academy"	"Miami, FL"
"La Belle Beauty School"	"Hialeah, FL"
"LA Film School"	"Los Angeles, CA"
"La Roche College"	"Pittsburgh, PA"
"La Sierra University"	"Riverside, CA"
"Labette Community College"	"Parsons, KS"
"Laboure College"	"Boston, MA"
"Lac Courte Oreilles Ojibwa Community College"	"Hayward, WI"
"Lackawanna College"	"Scranton, PA"
"Lafayette College"	"Easton, PA"
"LaGrange College"	"Lagrange, GA"
"Laguna College of Art and Design"	"Laguna Beach, CA"
"Lake Area Technical College"	"Watertown, SD"
"Lake Erie College"	"Painesville, OH"
"Lake Erie College of Osteopathic Medicine"	"Erie, PA"
"Lake Forest College"	"Lake Forest, IL"
"Lake Land College"	"Mattoon, IL"
"Lake Lanier School of Massage"	"Gainsville, GA"
"Lake Michigan College"	"Benton Harbor, MI"
"Lake Region State College"	"Devils Lake, ND"
"Lake Superior College"	"Duluth, MN"
"Lake Superior State University"	"Sault Ste Marie, MI"
"Lake Tahoe Community College"	"South Lake Tahoe, CA"
"Lake Technical Center"	"Eustis, FL"
"Lake Washington Institute of Technology"	"Kirkland, WA"
"Lake-Sumter Community College"	"Leesburg, FL"
"Lakeland Community College"	"Kirtland, OH"
"Lakeland University"	"Plymouth, WI"
"Lakes Region Community College"	"Laconia, NH"
"Lakeshore Technical College"	"Cleveland, WI"
"Lakeview College of Nursing"	"Danville, IL"
"Lamar Community College"	"Lamar, CO"
"Lamar Institute of Technology"	"Beaumont, TX"
"Lamar State College-Orange"	"Orange, TX"
"Lamar State College-Port Arthur"	"Port Arthur, TX"
"Lancaster Beauty School"	"Lancaster, CA"
"Lancaster County Career and Technology Center"	"Willow Street, PA"
"Lancaster School of Cosmetology"	"Lancaster, PA"
"Landmark College"	"Putney, VT"
"Lane College"	"Jackson, TN"
"Lane Community College"	"Eugene, OR"
"Laney College"	"Oakland, CA"
"Langston University"	"Langston, OK"
"Lansing Community College"	"Lansing, MI"
"Laramie County Community College"	"Cheyenne, WY"
"Laredo Beauty College Inc"	"Laredo, TX"
"Laredo Community College"	"Laredo, TX"
"Las Positas College"	"Livermore, CA"
"Las Vegas College"	"Henderson, NV"
"Lassen Community College"	"Susanville, CA"
"Latter-day Saints Business College"	"Salt Lake City, UT"
"Laurel Business Institute"	"Uniontown, PA"
"Laurus College"	"San Luis Obispo, CA"
"Lawrence Memorial Hospital School of Nursing"	"Medford, MA"
"Lawrence Technological University"	"Southfield, MI"
"Lawrence University"	"Appleton, WI"
"Lawson State Community College-Birmingham Campus"	"Birmingham, AL"
"Le Moyne College"	"Syracuse, NY"
"Le Moyne-Owen College"	"Memphis, TN"
"Lebanon County Area Vocational Technical School"	"Lebanon, PA"
"Lebanon Valley College"	"Annville, PA"
"Lee College"	"Baytown, TX"
"Lee County High Tech Center Central"	"Fort Myers, FL"
"Lee County High Tech Center North"	"Cape Coral, FL"
"Lee University"	"Cleveland, TN"
"Leech Lake Tribal College"	"Cass Lake, MN"
"Lees-McRae College"	"Banner Elk, NC"
"Leeward Community College"	"Pearl City, HI"
"Lehigh Carbon Community College"	"Schnecksville, PA"
"Lenoir Community College"	"Kinston, NC"
"Lenoir-Rhyne University"	"Hickory, NC"
"Leons Beauty School Inc"	"Greensboro, NC"
"Lesley University"	"Cambridge, MA"
"Lewis & Clark College"	"Portland, OR"
"Lewis-Clark State College"	"Lewiston, ID"
"Lewistown Hospital School of Nursing"	"Lewistown, PA"
"Lexington Healing Arts Academy"	"Lexington, KY"
"Liberty University Campus"	"Lynchburg, VA"
"Life Chiropractic College West"	"Hayward, CA"
"Life Pacific University"	"San Dimas, CA"
"Life University"	"Marietta, GA"
"LIM College"	"New York, NY"
"Limestone University"	"Gaffney, SC"
"Lincoln Christian University"	"Lincoln, IL"
"Lincoln College"	"Lincoln, IL"
"Lincoln Land Community College"	"Springfield, IL"
"Lincoln Memorial University"	"Harrogate, TN"
"Lincoln University - CA"	"Oakland, CA"
"Lincoln University - MO"	"Jefferson City, MO"
"Lincoln University of Pennsylvania"	"Lincoln University, PA"
"Lindsey Hopkins Technical Education Center"	"Miami, FL"
"Lindsey Wilson College"	"Columbia, KY"
"Linfield University"	"McMinnville, OR"
"Linfield University-Nursing & Health Sciences"	"Portland, OR"
"Linfield University-Online and Continuing Education"	"McMinnville, OR"
"Linn-Benton Community College"	"Albany, OR"
"Lipscomb University"	"Nashville, TN"
"Little Big Horn College"	"Crow Agency, MT"
"Little Priest Tribal College"	"Winnebago, NE"
"Lively Technical Center"	"Tallahassee, FL"
"Livingstone College"	"Salisbury, NC"
"Lock Haven University"	"Lock Haven, PA"
"Logan University"	"Chesterfield, MO"
"Loma Linda University"	"Loma Linda, CA"
"Long Beach City College"	"Long Beach, CA"
"Long Island Business Institute"	"Flushing, NY"
"Long Island Nail & Skin Care Institute"	"Levittown, NY"
"Long Island University"	"Brookville, NY"
"Longy School of Music"	"Cambridge, MA"
"Lorain County Community College"	"Elyria, OH"
"Lorain County Joint Vocational School District"	"Oberlin, OH"
"Loraines Academy Inc"	"St. Petersburg, FL"
"Loras College"	"Dubuque, IA"
"Lord Fairfax Community College"	"Middletown, VA"
"Lorenzo Walker Technical College"	"Naples, FL"
"Los Angeles City College"	"Los Angeles, CA"
"Los Angeles College of Music"	"Pasadena, CA"
"Los Angeles County College of Nursing and Allied Health"	"Los Angeles, CA"
"Los Angeles Harbor College"	"Wilmington, CA"
"Los Angeles Mission College"	"Sylmar, CA"
"Los Angeles Pierce College"	"Woodland Hills, CA"
"Los Angeles Southwest College"	"Los Angeles, CA"
"Los Angeles Trade Technical College"	"Los Angeles, CA"
"Los Angeles Valley College"	"Valley Glen, CA"
"Louisburg College"	"Louisburg, NC"
"Louisiana College"	"Pineville, LA"
"Louisiana Delta Community College"	"Monroe, LA"
"Louisiana State University"	"Baton Rouge, LA"
"Louisiana State University Health Sciences Center-New Orleans"	"New Orleans, LA"
"Louisiana State University Health Sciences Center-Shreveport"	"Shreveport, LA"
"Louisiana State University-Eunice"	"Eunice, LA"
"Louisiana Tech University"	"Ruston, LA"
"Louisville Presbyterian Theological Seminary"	"Louisville, KY"
"Lourdes University"	"Sylvania, OH"
"Lowell Academy Hairstyling Institute"	"Lowell, MA"
"Lower Columbia College"	"Longview, WA"
"Loyola University Chicago"	"Chicago, IL"
"Loyola University Maryland"	"Baltimore, MD"
"Lu Ross Academy"	"Ventura, CA"
"Lubbock Christian University"	"Lubbock, TX"
"Lucas Marc Academy"	"Richland, WA"
"Luna Community College"	"Las Vegas, NM"
"Luther College"	"Decorah, IA"
"Luther Rice College & Seminary"	"Lithonia, GA"
"Lutheran School of Nursing"	"St. Louis, MO"
"Lutheran School of Theology at Chicago"	"Chicago, IL"
"Luzerne County Community College"	"Nanticoke, PA"
"Lycoming College"	"Williamsport, PA"
"Lynchburg General Hospital School of Nursing"	"Lynchburg, VA"
"Lyon College"	"Batesville, AR"
"Lytles Redwood Empire Beauty College Inc"	"Santa Rosa, CA"
"M T Training Center"	"Grand Prairie, TX"
"M-DCPS The English Center"	"Miami, FL"
"Macalester College"	"Saint Paul, MN"
"MacCormac College"	"Chicago, IL"
"Madison Adult Career Center"	"Mansfield, OH"
"Madison Area Technical College"	"Madison, WI"
"Madison Media Institute"	"Madison, WI"
"Madisonville Community College"	"Madisonville, KY"
"Madonna University"	"Livonia, MI"
"Magnolia College of Cosmetology"	"Jackson, MS"
"Magnolia school"	"Ambler, PA"
"Maharishi International University"	"Fairfield, IA"
"Maine College of Art"	"Portland, ME"
"Maine College of Health Professions"	"Lewiston, ME"
"Maine Maritime Academy"	"Castine, ME"
"Make-up Designory"	"Burbank, CA"
"Malone University"	"Canton, OH"
"Management Resources Institute"	"Miami, FL"
"Manatee Technical College"	"Bradenton, FL"
"Manchester Community College - CT"	"Manchester, CT"
"Manchester Community College - NH"	"Manchester, NH"
"Manchester University"	"North Manchester, IN"
"Mandl The College of Allied Health"	"New York, NY"
"Manhattan Area Technical College"	"Manhattan, KS"
"Manhattan Christian College"	"Manhattan, KS"
"Manhattan Institute (The)"	"New York, NY"
"Manhattan School of Computer Technology"	"Brooklyn, NY"
"Manhattanville College"	"Purchase, NY"
"Manor College"	"Jenkintown, PA"
"Mansfield University of Pennsylvania"	"Mansfield, PA"
"Maranatha Baptist University"	"Watertown, WI"
"Marchman Technical Education Center"	"New Port Richey, FL"
"Maria College of Albany"	"Albany, NY"
"Marian Health Careers Center-Van Nuys Campus"	"Van Nuys, CA"
"Marian University"	"Indianapolis, IN"
"Marian University - Wisconsin"	"Fond du Lac, WI"
"Maricopa Skill Center"	"Phoenix, AZ"
"Marietta College"	"Marietta, OH"
"Marine Mechanics Institute"	"Orlando, FL"
"Marion Technical College"	"Marion, OH"
"Marion Technical College - FL"	"Ocala, FL"
"Marist College"	"Poughkeepsie, NY"
"Marlboro College"	"Marlboro, VT"
"Marlboro College Graduate School"	"Brattleboro, VT"
"Marquette University"	"Milwaukee, WI"
"Mars Hill University"	"Mars Hill, NC"
"Marshall B. Ketchum University"	"Fullerton, CA"
"Marshall University"	"Huntington, WV"
"Marshalltown Community College"	"Marshalltown, IA"
"Martin Community College"	"Williamston, NC"
"Martin Luther College"	"New Ulm, MN"
"Martin Methodist College"	"Pulaski, TN"
"Martin University"	"Indianapolis, IN"
"Mary Baldwin University"	"Staunton, VA"
"Marygrove College"	"Detroit, MI"
"Maryland Institute College of Art"	"Baltimore, MD"
"Maryland University of Integrative Health"	"Laurel, MD"
"Marymount Manhattan College"	"New York, NY"
"Maryville College"	"Maryville, TN"
"Marywood University"	"Scranton, PA"
"Massachusetts Bay Community College"	"Wellesley Hills, MA"
"Massachusetts College of Art and Design"	"Boston, MA"
"Massachusetts College of Liberal Arts"	"North Adams, MA"
"Massachusetts College of Pharmacy and Health Sciences"	"Boston, MA"
"Massachusetts Institute of Technology"	"Cambridge, MA"
"Massachusetts School of Law"	"Andover, MA"
"Massasoit Community College"	"Brockton, MA"
"The Master's University"	"Santa Clarita, CA"
"Mayfield College"	"Cathedral City, CA"
"Mayland Community College"	"Spruce Pine, NC"
"Mayo Medical School"	"Rochester, MN"
"Maysville Community and Technical College"	"Maysville, KY"
"Mayville State University"	"Mayville, ND"
"McCormick Theological Seminary"	"Chicago, IL"
"McDaniel College"	"Westminster, MD"
"McDowell Technical Community College"	"Marion, NC"
"McFatter Technical College"	"Davie, FL"
"McHenry County College"	"Crystal Lake, IL"
"McKendree University"	"Lebanon, IL"
"McLennan Community College"	"Waco, TX"
"McMurry University"	"Abilene, TX"
"McNeese State University"	"Lake Charles, LA"
"McPherson College"	"McPherson, KS"
"The Medical Arts School"	"Raleigh, NC"
"Medical College of Wisconsin"	"Milwaukee, WI"
"Medical Institute of Palm Beach"	"Greenacres, FL"
"Medical Training College"	"Baton Rouge, LA"
"Medical University of South Carolina"	"Charleston, SC"
"Meharry Medical College"	"Nashville, TN"
"Memorial Hospital School of Nursing"	"Albany, NY"
"Memphis College of Art"	"Memphis, TN"
"Memphis Theological Seminary"	"Memphis, TN"
"Mendocino College"	"Ukiah, CA"
"Menlo College"	"Atherton, CA"
"Merced College"	"Merced, CA"
"Mercer County Technical Education Center"	"Princeton, WV"
"Mercer University"	"Macon, GA"
"Mercy College"	"Dobbs Ferry, NY"
"Mercy College of Health Sciences"	"Des Moines, IA"
"Mercy College of Northwest Ohio"	"Toledo, OH"
"Mercy Hospital School of Nursing"	"Pittsburgh, PA"
"Mercy Hospital School of Practical Nursing"	"Miami, FL"
"Meredith College"	"Raleigh, NC"
"Meridian College"	"Sarasota, FL"
"Meridian Community College"	"Meridian, MS"
"Meridian Institute of Surgical Assisting"	"Nashville, TN"
"Meridian Technology Center"	"Stillwater, OK"
"Merkaz Bnos-Business School"	"Brooklyn, NY"
"Merrell University of Beauty Arts and Science"	"Jefferson City, MO"
"Merrimack College"	"North Andover, MA"
"Merritt College"	"Oakland, CA"
"Mesa Community College"	"Mesa, AZ"
"Mesabi Range College"	"Virginia, MN"
"Mesalands Community College"	"Tucumcari, NM"
"Methodist College"	"Peoria, IL"
"Methodist Theological School in Ohio"	"Delaware, OH"
"Methodist University"	"Fayetteville, NC"
"Metro Beauty Academy"	"Allentown, PA"
"Metro Technology Centers"	"Oklahoma City, OK"
"Metropolitan College of New York"	"New York, NY"
"Metropolitan Community College"	"Omaha, NE"
"Metropolitan Community College-Longview"	"Lees Summit, MO"
"Metropolitan Learning Institute"	"Rego Park, NY"
"Metropolitan State University"	"Saint Paul, MN"
"Metropolitan State University of Denver"	"Denver, CO"
"MGH Institute of Health Professions"	"Boston, MA"
"Miami Lakes Educational Center"	"Miami Lakes, FL"
"Miami University - Oxford"	"Oxford, OH"
"Miami Valley Career Technology Center"	"Clayton, OH"
"Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School"	"Bedford, NH"
"Michigan Career and Technical Institute"	"Plainwell, MI"
"Michigan School of Psychology"	"Farmington Hills, MI"
"Michigan State University College of Law"	"East Lansing, MI"
"Mid Michigan College"	"Harrison, MI"
"Mid-America Technology Center"	"Wayne, OK"
"Mid-Atlantic Christian University"	"Elizabeth City, NC"
"Mid-Plains Community College"	"North Platte, NE"
"Mid-South Community College"	"West Memphis, AR"
"Mid-State Technical College"	"Wisconsin Rapids, WI"
"MidAmerica Nazarene University"	"Olathe, KS"
"Middle Georgia State University"	"Macon, GA"
"Middle Tennessee School of Anesthesia"	"Madison, TN"
"Middle Tennessee State University"	"Murfreesboro, TN"
"Middlebury College"	"Middlebury, VT"
"Middlebury Institute of International Studies at Monterey"	"Monterey, CA"
"Middlesex Community College - CT"	"Middletown, CT"
"Middlesex County College"	"Edison, NJ"
"Midland College"	"Midland, TX"
"Midland University"	"Fremont, NE"
"Midlands Technical College"	"West Columbia, SC"
"Midwest Technical Institute-Springfield"	"Springfield, MO"
"Midwestern Baptist Theological Seminary"	"Kansas City, MO"
"Midwestern State University"	"Wichita Falls, TX"
"Midwestern University-Downers Grove"	"Downers Grove, IL"
"Midwestern University-Glendale"	"Glendale, AZ"
"Midwives College of Utah"	"Salt Lake City, UT"
"Milan Institute-Las Vegas"	"Las Vegas, NV"
"Milan Institute-Merced"	"Merced, CA"
"Miles College"	"Fairfield, AL"
"Miles Community College"	"Miles City, MT"
"Millersville University of Pennsylvania"	"Millersville, PA"
"Millikin University"	"Decatur, IL"
"Mills College"	"Oakland, CA"
"Millsaps College"	"Jackson, MS"
"Milwaukee Area Technical College"	"Milwaukee, WI"
"Milwaukee Institute of Art & Design"	"Milwaukee, WI"
"Mineral Area College"	"Park Hills, MO"
"Minneapolis College of Art and Design"	"Minneapolis, MN"
"Minneapolis Community and Technical College"	"Minneapolis, MN"
"Minnesota State College Southeast"	"Winona, MN"
"Minnesota State University - Moorhead"	"Moorhead, MN"
"Minnesota State University at Mankato"	"Mankato, MN"
"Minnesota West Community and Technical College"	"Granite Falls, MN"
"Minot State University"	"Minot, ND"
"MiraCosta College"	"Oceanside, CA"
"Misericordia University"	"Dallas, PA"
"Mission College"	"Santa Clara, CA"
"Mississippi Delta Community College"	"Moorhead, MS"
"Mississippi Gulf Coast Community College"	"Perkinston, MS"
"Mississippi State University"	"Mississippi State, MS"
"Mississippi Valley State University"	"Itta Bena, MS"
"Missouri Baptist University"	"St. Louis, MO"
"Missouri College"	"Brentwood, MO"
"Missouri Southern State University"	"Joplin, MO"
"Missouri State University"	"Springfield, MO"
"Missouri State University-West Plains"	"West Plains, MO"
"Missouri University of Science and Technology"	"Rolla, MO"
"Missouri Valley College"	"Marshall, MO"
"Missouri Western State University"	"St. Joseph, MO"
"Mitchell College"	"New London, CT"
"Mitchell Community College"	"Statesville, NC"
"Mitchell Hamline School of Law"	"Saint Paul, MN"
"Mitchell Technical Institute"	"Mitchell, SD"
"Moberly Area Community College"	"Moberly, MO"
"Model College of Hair Design"	"St. Cloud, MN"
"The Modern College of Design"	"Kettering, OH"
"Modesto Junior College"	"Modesto, CA"
"Mohave Community College"	"Kingman, AZ"
"Mohawk Valley Community College-Utica Branch"	"Utica, NY"
"Molloy College"	"Rockville Centre, NY"
"Monmouth College"	"Monmouth, IL"
"Monmouth County Vocational School District"	"Neptune, NJ"
"Monmouth University"	"West Long Branch, NJ"
"Monroe Community College"	"Rochester, NY"
"Monroe County Community College"	"Monroe, MI"
"Montana State University"	"Bozeman, MT"
"Montana State University - Billings"	"Billings, MT"
"Montana State University - Northern"	"Havre, MT"
"Montana State University-Great Falls College of Technology"	"Great Falls, MT"
"Montana Technological University"	"Butte, MT"
"Montcalm Community College"	"Sidney, MI"
"Monterey Peninsula College"	"Monterey, CA"
"Montgomery Beauty School"	"Silver Spring, MD"
"Montgomery Community College"	"Troy, NC"
"Montgomery County Community College"	"Blue Bell, PA"
"Montserrat College of Art"	"Beverly, MA"
"Moody Bible Institute"	"Chicago, IL"
"Moore College of Art and Design"	"Philadelphia, PA"
"Moore Norman Technology Center"	"Norman, OK"
"Moorpark College"	"Moorpark, CA"
"Moraine Park Technical College"	"Fond du Lac, WI"
"Moraine Valley Community College"	"Palos Hills, IL"
"Moravian College and Moravian Theological Seminary"	"Bethlehem, PA"
"Morehead State University"	"Morehead, KY"
"Morehouse College"	"Atlanta, GA"
"Morehouse School of Medicine"	"Atlanta, GA"
"Moreno Valley College"	"Moreno Valley, CA"
"Morgan Community College"	"Fort  Morgan, CO"
"Morgan State University"	"Baltimore, MD"
"Morningside College"	"Sioux City, IA"
"Morris College"	"Sumter, SC"
"Morton College"	"Cicero, IL"
"Motlow State Community College"	"Tullahoma, TN"
"Mott Community College"	"Flint, MI"
"Mount Aloysius College"	"Cresson, PA"
"Mount Carmel College of Nursing"	"Columbus, OH"
"Mount Holyoke College"	"South Hadley, MA"
"Mount Marty College"	"Yankton, SD"
"Mount Mary University"	"Milwaukee, WI"
"Mount Saint Mary College"	"Newburgh, NY"
"Mount Saint Mary's University - CA"	"Los Angeles, CA"
"Mount St. Joseph University"	"Cincinnati, OH"
"Mount St. Mary's University - MD"	"Emmitsburg, MD"
"Mountain Empire Community College"	"Big Stone Gap, VA"
"Mountain State College"	"Parkersburg, WV"
"Mountain View College"	"Dallas, TX"
"Mountwest Community and Technical College"	"Huntington, WV"
"Mt Diablo Adult Education"	"Concord, CA"
"Mt Hood Community College"	"Gresham, OR"
"Mt. San Antonio College"	"Walnut, CA"
"MTI College"	"Sacramento, CA"
"Muhlenberg College"	"Allentown, PA"
"Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing"	"Plainfield, NJ"
"Multnomah University"	"Portland, OR"
"Murray State College"	"Tishomingo, OK"
"Musicians Institute"	"Hollywood, CA"
"Muskegon Community College"	"Muskegon, MI"
"Muskingum University"	"New Concord, OH"
"MyComputerCareer.com"	"Raleigh, NC"
"Napa Valley College"	"Napa, CA"
"Naropa University"	"Boulder, CO"
"NASCAR Technical Institute"	"Mooresville, NC"
"Nash Community College"	"Rocky Mount, NC"
"Nashua Community College"	"Nashua, NH"
"Nashville Auto Diesel College (NADC)"	"Nashville, TN"
"Nashville College of Medical Careers"	"Madison, TN"
"Nashville State Community College"	"Nashville, TN"
"Nassau Community College"	"Garden City, NY"
"National Beauty College - CO"	"Denver, CO"
"National Career Education"	"Rancho Cordova, CA"
"National College of Natural Medicine"	"Portland, OR"
"National Graduate School of Quality Management"	"Falmouth, MA"
"National Paralegal College"	"Phoenix, AZ"
"National Park College"	"Hot Springs, AR"
"National Polytechnic College"	"Commerce, CA"
"National University"	"La Jolla, CA"
"National University of Health Sciences"	"Lombard, IL"
"Naugatuck Valley Community College"	"Waterbury, CT"
"Navajo Technical College"	"Crownpoint, NM"
"Naval Postgraduate School"	"Monterey, CA"
"Nazarene Bible College"	"Colorado Springs, CO"
"Nazarene Theological Seminary"	"Kansas City, MO"
"Nazareth College"	"Rochester, NY"
"Nebraska Christian College"	"Papillion, NE"
"Nebraska College of Technical Agriculture"	"Curtis, NE"
"Nebraska Indian Community College"	"Macy, NE"
"Nebraska Methodist College"	"Omaha, NE"
"Nebraska Wesleyan University"	"Lincoln, NE"
"Neosho County Community College"	"Chanute, KS"
"Neumann University"	"Aston, PA"
"Nevada Career Institute"	"Las Vegas, NV"
"New Age Training"	"New York, NY"
"New Beginning College of Cosmetology"	"Albertville, AL"
"New Brunswick Theological Seminary"	"New Brunswick, NJ"
"New College of Florida"	"Sarasota, FL"
"New Community Career & Technical Institute"	"Newark, NJ"
"New England College of Optometry"	"Boston, MA"
"New England Hair Academy"	"Malden, MA"
"New England Institute of Technology"	"East Greenwich, RI"
"New England Law-Boston"	"Boston, MA"
"New England Tractor Trailer Training School of Massachusetts"	"North Andover, MA"
"New Hope Christian College"	"Eugene, OR"
"New Jersey City University"	"Jersey City, NJ"
"New Jersey Institute of Technology"	"Newark, NJ"
"New Mexico Highlands University"	"Las Vegas, NM"
"New Mexico Institute of Mining and Technology"	"Socorro, NM"
"New Mexico Junior College"	"Hobbs, NM"
"New Mexico State University"	"Las Cruces, NM"
"New Mexico State University-Alamogordo"	"Alamogordo, NM"
"New Mexico State University-Carlsbad"	"Carlsbad, NM"
"New Mexico State University-Dona Ana"	"Las Cruces, NM"
"New Mexico State University-Grants"	"Grants, NM"
"New Orleans Baptist Theological Seminary"	"New Orleans, LA"
"New River Community and Technical College"	"Beckley, WV"
"New River Community College"	"Dublin, VA"
"New Saint Andrews College"	"Moscow, ID"
"The New School"	"New York, NY"
"New School Center for Media"	"Albany, NY"
