"Program"	"College"	"uni"	"program"	"stipend"	"value"	"year"	"year_in"	"comment"	"mo_12"	"mo_9"	"mo_3"	"fees"	"Uni"	"City"	"metro_area"	"rank"	"living"	"poverty"	"dist"	"dist2"
"Philosophy"	"Arts and Sciences"	"Temple University"	"Philosophy"	"16470"	"0.68"	"2016-2017"	"3rd"	"These numbers are estimates, although I don&#39;t think I&#39;m off by much."	NA	"$16,770"	NA	"$300"	"Temple University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	104	36108.8	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"Temple University"	"Philosophy"	"16620"	"0.69"	"2016-2017"	NA	NA	NA	"$17,000"	NA	"$380"	"Temple University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	104	36108.8	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"Temple University"	"Philosophy"	"30000"	"1.24"	"2021-2022"	"1st"	NA	"$30,000"	NA	NA	NA	"Temple University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	104	36108.8	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"Tulane University"	"Philosophy"	"18200"	"0.79"	"2017-2018"	NA	NA	NA	"$20,000"	NA	"$1,800"	"Tulane University"	"New Orleans, LA"	"New Orleans-Metairie, LA"	40	33945.6	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Arizona"	"Philosophy"	"15733"	"0.76"	"2016-2017"	"1st"	NA	"$15,733"	NA	NA	NA	"University of Arizona"	"Tucson, AZ"	"Tucson, AZ"	117	32156.8	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of California - Riverside"	"Philosophy"	"22500"	"0.93"	"2020-2021"	"3rd"	NA	NA	"$22,500"	NA	NA	"University of California--Riverside"	"Riverside, CA"	"Riverside-San Bernardino-Ontario, CA"	91	37648	12875.2	0.0280423280423281	0
"Philosophy"	"Arts and Sciences"	"University of California - Riverside"	"Philosophy"	"20898"	"0.87"	"2021-2022"	"2nd"	NA	NA	"$21,912"	NA	"$1,014"	"University of California--Riverside"	"Riverside, CA"	"Riverside-San Bernardino-Ontario, CA"	91	37648	12875.2	0.0280423280423281	0
"Philosophy"	"Arts and Sciences"	"University of California - Riverside"	"Philosophy"	"23121"	"0.96"	"2020-2021"	"1st"	"Grad student gossip is that offers vary based on undergrad GPA: one other grad student got about <span class=\"\"truncated\"\"> 29k first-year, another about 19.5k. Many are not informed of the variation.</span>"	NA	"$23,121"	NA	NA	"University of California--Riverside"	"Riverside, CA"	"Riverside-San Bernardino-Ontario, CA"	91	37648	12875.2	0.0280423280423281	0
"Philosophy"	"Arts and Sciences"	"University of California - Riverside"	"Philosophy"	"26000"	"1.08"	"2020-2021"	"1st"	NA	"$26,000"	NA	NA	NA	"University of California--Riverside"	"Riverside, CA"	"Riverside-San Bernardino-Ontario, CA"	91	37648	12875.2	0.0280423280423281	0
"Philosophy"	"Arts and Sciences"	"University of California - Santa Barbara"	"Philosophy"	"17000"	"0.65"	"2016-2017"	"4th"	NA	"$17,000"	NA	NA	NA	"University of California--Santa Barbara"	"Santa Barbara, CA"	"Santa Maria-Santa Barbara, CA"	34	50502.4	12875.2	0.0559154295996402	0
"Philosophy"	"Arts and Sciences"	"University of California - Santa Barbara"	"Philosophy"	"24000"	"0.91"	"2018-2019"	NA	"+ health insurance. My offer included TA-ships for the remaining years at $22,000/three quarters."	NA	"$24,000"	NA	NA	"University of California--Santa Barbara"	"Santa Barbara, CA"	"Santa Maria-Santa Barbara, CA"	34	50502.4	12875.2	0.0559154295996402	0
"Philosophy"	"Arts and Sciences"	"University of California - Santa Barbara"	"Philosophy"	"22000"	"0.84"	"2020-2021"	"1st"	NA	"$22,000"	NA	NA	NA	"University of California--Santa Barbara"	"Santa Barbara, CA"	"Santa Maria-Santa Barbara, CA"	34	50502.4	12875.2	0.0559154295996402	0
"Philosophy"	"Arts and Sciences"	"University of California - Santa Cruz"	"Philosophy"	"27000"	"1.00"	"2020-2021"	NA	"Edit: UC health insurance is covered, not explicitly, but it is after department confirmation."	"$27,000"	NA	NA	NA	"University of California--Santa Cruz"	"Santa Cruz, CA"	"Santa Cruz-Watsonville, CA"	84	54579.2	12875.2	0.0606106106106106	0
"Philosophy"	"Arts and Sciences"	"University of California - Santa Cruz"	"Philosophy"	"27000"	"1.00"	"2020-2021"	NA	"Taxable, and UC health insurance is not covered - $4,938. But a $2,500 housing stipend is also <span class=\"\"truncated\"\"> offered. Total in pocket funding after UC health insurance factored in is $24,562. </span>"	"$27,000"	NA	NA	NA	"University of California--Santa Cruz"	"Santa Cruz, CA"	"Santa Cruz-Watsonville, CA"	84	54579.2	12875.2	0.0606106106106106	0
"Philosophy"	"Arts and Sciences"	"University of Cincinnati"	"Philosophy"	"17000"	"0.88"	"2020-2021"	NA	NA	NA	"$17,000"	NA	NA	"University of Cincinnati"	"Cincinnati, OH"	"Cincinnati, OH"	139	31782.4	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Colorado - Boulder"	"Philosophy"	"18000"	"0.71"	"2017-2018"	NA	NA	"$20,000"	NA	NA	"$2,000"	"University of Colorado--Boulder"	"Boulder, CO"	"Boulder, CO"	104	42286.4	12875.2	0.0315860215053764	0
"Philosophy"	"Arts and Sciences"	"University of Illinois - Urbana- Champaign"	"Philosophy"	"17500"	"0.80"	"2021-2022"	"1st"	NA	NA	"$18,000"	NA	"$500"	"University of Illinois--Urbana-Champaign"	"Champaign, IL"	"Champaign-Urbana, IL"	48	35422.4	12875.2	0.0620573870573872	0
"Philosophy"	"Arts and Sciences"	"University of Iowa"	"Philosophy"	"19700"	"0.89"	"2020-2021"	"1st"	NA	NA	"$20,100"	NA	"$400"	"University of Iowa"	"Iowa City, IA"	"Iowa City, IA"	84	35131.2	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Iowa"	"Philosophy"	"19828"	"0.89"	"2020-2021"	"3rd"	"Additional $2,000/year over 9 months + $5,000/summer if receive the Recruitment Fellowship. <span class=\"\"truncated\"\"> Departmental funding guaranteed for five years upon acceptance, contingent upon fulfillment of TA duties. </span>"	NA	"$20,328"	NA	"$500"	"University of Iowa"	"Iowa City, IA"	"Iowa City, IA"	84	35131.2	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Kentucky"	"Philosophy"	"16250"	"0.80"	"2016-2017"	"5th"	"As of 2016-2017, graduate students are paid bi-monthly about $812 gross and $777 take home."	NA	"$16,250"	NA	NA	"University of Kentucky"	"Lexington, KY"	"Lexington-Fayette, KY"	132	32260.8	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Michigan - Ann Arbor"	"Philosophy"	"27650"	"1.20"	"2018-2019"	"1st"	NA	NA	"$21,000"	"$7,000"	"$350"	"University of Michigan--Ann Arbor"	"Ann Arbor, MI"	"Ann Arbor, MI"	25	38542.4	12875.2	0.0505421865715983	0
"Philosophy"	"Arts and Sciences"	"University of Michigan - Ann Arbor"	"Philosophy"	"28780"	"1.25"	"2020-2021"	"1st"	"Total per year guaranteed for 4  years: 28,780 (including summer fellowship of $7,000, mix of <span class=\"\"truncated\"\"> fellowship and TAship). For the remaining 2 years, only fall and winter semesters are guaranteed ($21,780), and could possibly teach in the summers for an additional $8,170 (so year total would be $29,950).</span>"	NA	"$21,780"	"$7,000"	NA	"University of Michigan--Ann Arbor"	"Ann Arbor, MI"	"Ann Arbor, MI"	25	38542.4	12875.2	0.0505421865715983	0
"Philosophy"	"Arts and Sciences"	"University of Michigan - Ann Arbor"	"Philosophy"	"30434"	"1.32"	"2021-2022"	"1st"	NA	"$30,434"	NA	NA	NA	"University of Michigan--Ann Arbor"	"Ann Arbor, MI"	"Ann Arbor, MI"	25	38542.4	12875.2	0.0505421865715983	0
"Philosophy"	"Arts and Sciences"	"University of Minnesota - Twin Cities"	"Philosophy"	"20000"	"0.87"	"2020-2021"	NA	NA	"$21,000"	NA	NA	"$1,000"	"University of Minnesota--Twin Cities"	"Minneapolis, MN"	"Minneapolis-St. Paul-Bloomington, MN"	70	37856	12875.2	0.0558487058487058	0
"Philosophy"	"Arts and Sciences"	"University of Minnesota - Twin Cities"	"Philosophy"	"19500"	"0.85"	"2021-2022"	"1st"	NA	NA	"$19,500"	NA	NA	"University of Minnesota--Twin Cities"	"Minneapolis, MN"	"Minneapolis-St. Paul-Bloomington, MN"	70	37856	12875.2	0.0558487058487058	0
"Philosophy"	"Arts and Sciences"	"University of Minnesota - Twin Cities"	"Philosophy"	"22800"	"1.00"	"2021-2022"	NA	NA	"$24,000"	NA	NA	"$1,200"	"University of Minnesota--Twin Cities"	"Minneapolis, MN"	"Minneapolis-St. Paul-Bloomington, MN"	70	37856	12875.2	0.0558487058487058	0
"Philosophy"	"Arts and Sciences"	"University of Missouri"	"Philosophy"	"17700"	"0.86"	"2019-2020"	"1st"	NA	"$18,000"	NA	NA	"$300"	"University of Missouri"	"Columbia, MO"	"Columbia, MO"	139	32635.2	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of North Carolina - Chapel Hill"	"Philosophy"	"22300"	"1.00"	"2020-2021"	"1st"	"The department covers all required fees. They also pay for our health insurance."	NA	"$18,300"	"$4,000"	NA	"University of North Carolina--Chapel Hill"	"Chapel Hill, NC"	"Durham-Chapel Hill, NC"	29	35838.4	12875.2	0.0573364305071622	0
"Philosophy"	"Arts and Sciences"	"University of Pennsylvania"	"Philosophy"	"37106"	"1.54"	"2021-2022"	"1st"	NA	NA	"$31,868"	"$5,238"	NA	"University of Pennsylvania"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	6	36108.8	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Pittsburgh"	"Philosophy"	"23996"	"1.16"	"2016-2017"	"2nd"	"TA-ship + summer fellowship. Tuition and health insurance fees waived."	"$24,066"	NA	NA	"$70"	"University of Pittsburgh"	"Pittsburgh, PA"	"Pittsburgh, PA"	57	33321.6	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Pittsburgh"	"Philosophy"	"26086"	"1.26"	"2019-2020"	"1st"	NA	"$26,086"	NA	NA	NA	"University of Pittsburgh"	"Pittsburgh, PA"	"Pittsburgh, PA"	57	33321.6	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Rochester"	"Philosophy"	"20400"	"0.95"	"2022-2023"	"1st"	NA	"$21,000"	NA	NA	"$600"	"University of Rochester"	"Rochester, NY"	"Rochester, NY"	29	34736	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Rochester"	"Philosophy"	"20400"	"0.95"	"2020-2021"	NA	NA	"$21,000"	NA	NA	"$600"	"University of Rochester"	"Rochester, NY"	"Rochester, NY"	29	34736	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of South Florida"	"Philosophy"	"10600"	"0.53"	"2014-2015"	"5th"	NA	NA	"$12,000"	NA	"$1,400"	"University of South Florida"	"Tampa, FL"	"Tampa-St. Petersburg-Clearwater, FL"	104	35713.6	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Southern California"	"Philosophy"	"30400"	"1.17"	"2020-2021"	"5th"	"Extra summer funding around $2000"	"$30,500"	NA	NA	"$100"	"University of Southern California"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	22	44969.6	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Southern California"	"Philosophy"	"30950"	"1.20"	"2020-2021"	"5th"	NA	"$31,000"	NA	NA	"$50"	"University of Southern California"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	22	44969.6	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Southern California"	"Philosophy"	"30500"	"1.18"	"2021-2022"	"1st"	NA	"$30,500"	NA	NA	NA	"University of Southern California"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	22	44969.6	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Southern California"	"Philosophy"	"33960"	"1.31"	"2021-2022"	"3rd"	"The base stipend is $30500 but I have a top-off. TAs are paid on a 9 month schedule and fellows are <span class=\"\"truncated\"\"> paid on a 12 month schedule. We have 3 years of fellowship. Everyone year 1-5 gets at least $2000 extra in summer funding.</span>"	"$34,000"	NA	NA	"$40"	"University of Southern California"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	22	44969.6	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Southern California"	"Philosophy"	"34000"	"1.31"	"2021-2022"	NA	NA	"$34,000"	NA	NA	NA	"University of Southern California"	"Los Angeles, CA"	"Los Angeles-Long Beach-Anaheim, CA"	22	44969.6	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Texas - Austin"	"Philosophy"	"33000"	"1.45"	"2016-2017"	"1st"	"Plus 2,181 supplement for student insurance."	"$33,000"	NA	NA	NA	"University of Texas--Austin"	"Austin, TX"	"Austin-Round Rock, TX"	48	36316.8	12875.2	0.0361552028218695	0
"Philosophy"	"Arts and Sciences"	"University of Texas - Austin"	"Philosophy"	"12400"	"0.54"	"2017-2018"	NA	"Worst stipend in the top 20 Philosophy PhD programs"	NA	"$13,500"	NA	"$1,100"	"University of Texas--Austin"	"Austin, TX"	"Austin-Round Rock, TX"	48	36316.8	12875.2	0.0361552028218695	0
"Philosophy"	"Arts and Sciences"	"University of Texas - Austin"	"Philosophy"	"13000"	"0.57"	"2019-2020"	"1st"	"Stunningly bad, it&#39;s unconscionable how poorly graduate students are paid here compared to most <span class=\"\"truncated\"\"> other top PhD programs</span>"	"$13,000"	NA	NA	NA	"University of Texas--Austin"	"Austin, TX"	"Austin-Round Rock, TX"	48	36316.8	12875.2	0.0361552028218695	0
"Philosophy"	"Arts and Sciences"	"University of Virginia"	"Philosophy"	"26000"	"1.14"	"2022-2023"	"1st"	NA	"$26,000"	NA	NA	NA	"University of Virginia"	"Charlottesville, VA"	"Charlottesville, VA"	28	38168	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Virginia"	"Philosophy"	"26000"	"1.14"	"2022-2023"	NA	NA	"$26,000"	NA	NA	NA	"University of Virginia"	"Charlottesville, VA"	"Charlottesville, VA"	28	38168	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"University of Wisconsin - Madison"	"Philosophy"	"21000"	"0.92"	"2019-2020"	"1st"	NA	NA	"$21,000"	NA	NA	"University of Wisconsin--Madison"	"Madison, WI"	"Madison, WI"	46	36441.6	12875.2	0.0306186868686869	0
"Philosophy"	"Arts and Sciences"	"University of Wisconsin - Milwaukee"	"Philosophy"	"9075"	"0.42"	"2020-2021"	"2nd"	NA	NA	"$9,075"	NA	NA	"University of Wisconsin--Milwaukee"	"Milwaukee, WI"	"Milwaukee-Waukesha-West Allis, WI"	NA	33779.2	12875.2	0.0288515406162466	0
"Philosophy"	"Arts and Sciences"	"Vanderbilt University"	"Philosophy"	"29500"	"1.28"	"2019-2020"	"1st"	NA	"$30,000"	NA	NA	"$500"	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	15	35318.4	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"Vanderbilt University"	"Philosophy"	"24900"	"1.08"	"2018-2019"	"2nd"	NA	"$25,000"	NA	NA	"$100"	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	15	35318.4	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"Vanderbilt University"	"Philosophy"	"34220"	"1.49"	"2022-2023"	"1st"	NA	"$35,000"	NA	NA	"$780"	"Vanderbilt University"	"Nashville, TN"	"Nashville-Davidson--Murfreesboro--Franklin, TN"	15	35318.4	12875.2	0	0
"Philosophy"	"Arts and Sciences"	"Washington University in St. Louis"	"Philosophy"	"25360"	"1.23"	"2018-2019"	"1st"	"We are on a 10 month salary, but (as I understand) the school of Arts &amp; Sciences is moving towards <span class=\"\"truncated\"\"> a 12 month salary, which would include increasing the stipend amount for students. Currently, it is typical for students for apply for and receive summer funding of about $2000. </span>"	NA	"$23,360"	"$2,000"	NA	"Washington University in St. Louis"	"St. Louis, MO"	"St. Louis, MO"	19	33945.6	12875.2	0	0
"Physics"	"Arts and Sciences"	"Baylor University"	"Physics"	"21000"	"1.06"	"2018-2019"	"1st"	NA	"$24,000"	NA	NA	"$3,000"	"Baylor University"	"Waco, TX"	"Waco, TX"	79	30992	12875.2	0	0
"Physics"	"Arts and Sciences"	"Baylor University"	"Physics"	"26600"	"1.34"	"2020-2021"	"1st"	NA	"$26,600"	NA	NA	NA	"Baylor University"	"Waco, TX"	"Waco, TX"	79	30992	12875.2	0	0
"Physics"	"Arts and Sciences"	"Baylor University"	"Physics"	"28600"	"1.44"	"2020-2021"	"1st"	NA	"$28,600"	NA	NA	NA	"Baylor University"	"Waco, TX"	"Waco, TX"	79	30992	12875.2	0	0
"Physics"	"Arts and Sciences"	"Baylor University"	"Physics"	"21000"	"1.15"	"2014-2015"	"1st"	NA	"$21,000"	NA	NA	NA	"Baylor University"	"Waco, TX"	"Waco, TX"	79	30992	12875.2	0	0
"Physics"	"Arts and Sciences"	"Boston University"	"Physics"	"30550"	"1.16"	"2014-2015"	"2nd"	"Health Insurance Covered"	"$30,750"	NA	NA	"$200"	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Boston University"	"Physics"	"33990"	"1.19"	"2018-2019"	"1st"	NA	"$33,990"	NA	NA	NA	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Boston University"	"Physics"	"33000"	"1.15"	"2018-2019"	"6th and up"	NA	"$33,000"	NA	NA	NA	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	40	46924.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Brown University"	"Physics"	"27000"	"1.19"	"2017-2018"	"1st"	NA	"$27,000"	NA	NA	NA	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	14	36004.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Brown University"	"Physics"	"31000"	"1.36"	"2018-2019"	"2nd"	"On a university fellowship"	"$31,000"	NA	NA	NA	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	14	36004.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Carnegie Mellon University"	"Physics"	"28500"	"1.38"	"2015-2016"	"1st"	"$2,375/month"	"$28,500"	NA	NA	NA	"Carnegie Mellon University"	"Pittsburgh, PA"	"Pittsburgh, PA"	25	33321.6	12875.2	0	0
"Physics"	"Arts and Sciences"	"Carnegie Mellon University"	"Physics"	"25200"	"1.46"	"2011-2012"	"1st"	NA	"$25,200"	NA	NA	NA	"Carnegie Mellon University"	"Pittsburgh, PA"	"Pittsburgh, PA"	25	33321.6	12875.2	0	0
"Physics"	"Arts and Sciences"	"Case Western Reserve University"	"Physics"	"24600"	"1.23"	"2017-2018"	"1st"	"First year with TA appointment."	"$24,600"	NA	NA	NA	"Case Western Reserve University"	"Cleveland, OH"	"Cleveland-Elyria, OH"	40	31824	12875.2	0	0
"Physics"	"Arts and Sciences"	"Colorado State University"	"Physics"	"22900"	"1.02"	"2016-2017"	"6th and up"	NA	"$23,926"	NA	NA	"$1,026"	"Colorado State University"	"Fort Collins, CO"	"Fort Collins, CO"	166	38251.2	12875.2	0	0
"Physics"	"Arts and Sciences"	"Colorado State University"	"Physics"	"19355"	"0.86"	"2022-2023"	"1st"	NA	NA	"$19,355"	NA	NA	"Colorado State University"	"Fort Collins, CO"	"Fort Collins, CO"	166	38251.2	12875.2	0	0
"Physics"	"Arts and Sciences"	"Colorado State University"	"Physics"	"19355"	"0.86"	"2021-2022"	"1st"	NA	NA	"$19,355"	NA	NA	"Colorado State University"	"Fort Collins, CO"	"Fort Collins, CO"	166	38251.2	12875.2	0	0
"Physics"	"Arts and Sciences"	"Columbia University"	"Physics"	"33792"	"1.27"	"2014-2015"	"1st"	NA	"$33,792"	NA	NA	NA	"Columbia University"	"New York, NY"	"New York-Newark-Jersey City, NY"	3	47236.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Columbia University"	"Physics"	"36000"	"1.21"	"2016-2017"	"1st"	NA	NA	"$36,000"	NA	NA	"Columbia University"	"New York, NY"	"New York-Newark-Jersey City, NY"	3	47236.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Cornell University"	"Physics"	"27000"	"1.11"	"2016-2017"	"1st"	NA	NA	"$27,000"	NA	NA	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Cornell University"	"Physics"	"28113"	"1.16"	"2017-2018"	"1st"	NA	NA	"$28,113"	NA	NA	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Cornell University"	"Physics"	"33800"	"1.39"	"2016-2017"	"6th and up"	NA	"$34,000"	NA	NA	"$200"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Cornell University"	"Physics"	"35794"	"1.48"	"2016-2017"	"6th and up"	"Valid for calendar year 2017 (Spring, Summer &amp; Fall),  before any tax witholdings. Funded in part <span class=\"\"truncated\"\"> by NIH NRSA fellowship. This pay represents increased stipend rates that are only valid after passing the PhD candidacy exam (i.e. the A-exam)</span>"	"$35,879"	NA	NA	"$85"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Cornell University"	"Physics"	"33623"	"1.39"	"2017-2018"	"1st"	NA	NA	"$28,817"	"$4,806"	NA	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Cornell University"	"Physics"	"35733"	"1.47"	"2018-2019"	"1st"	NA	NA	"$28,817"	"$7,000"	"$84"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Cornell University"	"Physics"	"36865"	"1.52"	"2019-2020"	"6th and up"	NA	"$37,000"	NA	NA	"$135"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Cornell University"	"Physics"	"35000"	"1.44"	"2021-2022"	"5th"	"RA money, enough to live decently in Ithaca"	"$35,000"	NA	NA	NA	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Cornell University"	"Physics"	"41957"	"1.73"	"2022-2023"	"1st"	NA	"$42,000"	NA	NA	"$43"	"Cornell University"	"Ithaca, NY"	"Ithaca, NY"	17	39020.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"23500"	"0.97"	"2017-2018"	"1st"	NA	"$23,500"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"23500"	"0.97"	"2017-2018"	"1st"	NA	"$23,500"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"23500"	"0.97"	"2018-2019"	"1st"	NA	"$23,500"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"23500"	"0.97"	"2018-2019"	"2nd"	NA	"$23,500"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"23500"	"0.97"	"2018-2019"	"1st"	NA	"$23,500"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"23500"	"0.97"	"2018-2019"	"5th"	"This is the TA stipend."	NA	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"25500"	"1.06"	"2019-2020"	"5th"	"Fees, tuition, and basic insurance covered by department"	"$25,500"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"23500"	"0.97"	"2018-2019"	"3rd"	"Drexel guarantees the physics graduate students 6 years of funding as a teaching assistant, <span class=\"\"truncated\"\"> including tuition, health insurance, and the $23,500 stipend. Cost of living in the city is expensive, so this is just barely enough to live on, especially if you live alone.</span>"	"$23,500"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"23500"	"0.97"	"2018-2019"	"1st"	NA	"$23,500"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"25000"	"1.04"	"2018-2019"	"6th and up"	NA	"$25,000"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"23500"	"0.97"	"2018-2019"	"1st"	NA	"$23,500"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"23500"	"0.97"	"2018-2019"	"2nd"	NA	"$23,500"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"23500"	"0.97"	"2018-2019"	"1st"	NA	"$23,500"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Drexel University"	"Physics"	"24000"	"1.00"	"2020-2021"	"2nd"	"Stipend also includes enrollment in student health plan"	"$24,000"	NA	NA	NA	"Drexel University"	"Philadelphia, PA"	"Philadelphia-Camden-Wilmington, PA"	97	36108.8	12875.2	0	0
"Physics"	"Arts and Sciences"	"Duke University"	"Physics"	"28000"	"1.49"	"2014-2015"	"2nd"	NA	"$28,000"	NA	NA	NA	"Duke University"	"Durham, NC"	"Durham-Chapel Hill, NC"	10	35838.4	12875.2	0	0
"Physics"	"Arts and Sciences"	"Duke University"	"Physics"	"40500"	"1.82"	"2016-2017"	"1st"	"The regular stipend is 30,500/year. I got a 10K scholarship on top of the normal stipend"	"$40,500"	NA	NA	NA	"Duke University"	"Durham, NC"	"Durham-Chapel Hill, NC"	10	35838.4	12875.2	0	0
"Physics"	"Arts and Sciences"	"Duke University"	"Physics"	"23800"	"1.07"	"2017-2018"	"4th"	NA	"$24,200"	NA	NA	"$400"	"Duke University"	"Durham, NC"	"Durham-Chapel Hill, NC"	10	35838.4	12875.2	0	0
